restaurant_id,restaurant_name,cuisine,rating,num_reviews,price_range,delivery_time,cost_for_two,city,vegetarian,has_online_delivery
1,Spice Garden,North Indian,4.5,245,3,28,1200,Mumbai,1,1
2,Dragon Palace,Chinese,4.2,189,2,35,800,Delhi,0,1
3,Pasta House,Italian,4.8,312,3,32,1500,Bangalore,0,1
4,Taj Express,North Indian,4.6,267,2,25,950,Hyderabad,1,1
5,Noodle House,Chinese,3.9,145,1,40,600,Pune,0,1
6,Pizza Corner,Continental,4.3,198,2,30,900,Mumbai,0,1
7,Desi Dhaba,North Indian,4.1,156,1,38,750,Delhi,1,0
8,Curry King,Indian,4.7,289,3,22,1100,Bangalore,1,1
9,Wok Express,Asian,4.4,201,2,28,850,Pune,0,1
10,The Good Fork,Continental,4.6,267,3,26,1300,Hyderabad,0,1
11,Samosa Junction,North Indian,3.8,112,1,45,500,Mumbai,1,0
12,Biryani Palace,Hyderabadi,4.9,345,3,30,1400,Bangalore,1,1
13,Tandoori Nights,Indian,4.3,176,2,32,950,Delhi,1,1
14,Sweet Escapes,Desserts,4.5,203,2,20,750,Pune,1,1
15,Barbecue House,Continental,4.2,167,3,35,1200,Mumbai,0,1
16,Fusion Kitchen,Asian,4.4,212,3,25,1150,Bangalore,0,1
17,Street Food Station,Fast Food,3.7,89,1,15,350,Hyderabad,1,0
18,Sushi Paradise,Japanese,4.7,298,4,28,2000,Delhi,0,1
19,Taco Fiesta,Mexican,4.1,134,2,25,700,Pune,0,1
20,Cafe Espresso,Cafe,4.0,145,2,10,600,Mumbai,1,1
21,Biryani Delights,Hyderabadi,4.6,223,2,32,900,Bangalore,1,1
22,Vegan Paradise,Vegetarian,4.5,178,2,22,800,Delhi,1,1
23,Kebab King,North Indian,4.3,189,2,30,850,Pune,1,0
24,Dimsum House,Chinese,4.2,156,1,35,650,Mumbai,0,1
25,Grilled Perfection,Continental,4.4,195,3,28,1250,Hyderabad,0,1
26,Momos Junction,Tibetan,4.1,123,1,20,450,Bangalore,1,1
27,Seafood Delicacy,Seafood,4.8,267,4,38,1800,Delhi,0,1
28,Dosa King,South Indian,4.3,167,1,25,500,Pune,1,1
29,Falafel House,Lebanese,4.0,145,2,30,700,Mumbai,1,0
30,Ramen Shack,Japanese,4.2,178,2,22,750,Bangalore,0,1
31,Masala Court,North Indian,4.5,212,3,26,1100,Hyderabad,1,1
32,Pho House,Vietnamese,4.1,156,2,28,700,Delhi,0,1
33,Paneer Express,North Indian,4.4,189,2,24,800,Pune,1,1
34,Gyros Heaven,Greek,4.0,134,1,25,600,Mumbai,0,0
35,Thali Junction,Indian,4.2,167,1,30,650,Bangalore,1,1
36,Spring Rolls Station,Chinese,3.9,145,1,32,550,Hyderabad,0,1
37,Tikka Tandoor,North Indian,4.6,234,2,28,900,Delhi,1,1
38,Curry Express,Indian,4.1,156,1,35,700,Pune,1,0
39,Chow Mein House,Asian,4.3,189,2,30,750,Mumbai,0,1
40,Biryani Express,Hyderabadi,4.5,201,2,32,850,Bangalore,1,1
41,Shawarma King,Middle Eastern,4.0,123,1,20,500,Hyderabad,0,1
42,Idli Sambar House,South Indian,4.2,145,1,25,450,Delhi,1,1
43,Chole Bhature Junction,North Indian,3.8,112,1,40,600,Pune,1,0
44,Hakka Noodles,Chinese,4.1,167,1,32,650,Mumbai,0,1
45,Butter Chicken House,North Indian,4.7,267,3,26,1200,Bangalore,1,1
46,Daal Makhani,North Indian,4.4,189,2,28,900,Hyderabad,1,1
47,Manchurian House,Indo-Chinese,4.2,156,1,30,700,Delhi,0,1
48,Vada Pav Station,South Indian,3.6,89,1,15,350,Pune,1,0
49,Biryanis Unlimited,Hyderabadi,4.8,301,3,31,1350,Mumbai,1,1
50,Royal Feast,North Indian,4.5,212,3,27,1100,Bangalore,1,1
